word,count_hi,count_lo,log_odds
way,1000,195,-0.30086459145170963
hope,183,35,-0.3000878923835364
orange,195,37,-0.2909762120322803
serves,92,17,-0.2892769762793215
say,671,129,-0.28878082146884587
drinks,910,175,-0.2874458093146064
close,486,93,-0.2865353707238274
three,218,41,-0.28010260000328113
unfortunately,72,13,-0.28010260000328024
things,230,43,-0.27327663493288057
keep,330,62,-0.27252106255088204
prepare,78,14,-0.27010706017160224
cheddar,78,14,-0.27010706017160224
ones,115,21,-0.2689569737883648
burrito,580,109,-0.2672343204769181
mayo,73,13,-0.2664969479475019
i'd,163,30,-0.26562548819736165
oil,105,19,-0.2637978909783385
moving,68,12,-0.26234756440068985
without,286,53,-0.26100654234106635
brought,116,21,-0.2603732300969721
folks,79,14,-0.25752827796474165
won't,546,101,-0.2520287223987028
country,85,15,-0.2497461375226866
day,1344,249,-0.2488163373627197
let,339,62,-0.24569382031773834
done,242,44,-0.2451057579661846
egg,534,98,-0.24435781477499674
quickly,129,23,-0.24202409142877634
dough,75,13,-0.23982870086534014
consistent,86,15,-0.23818531512161023
hit,184,33,-0.23750941107425128
prefer,70,12,-0.23377419195663407
cook,163,29,-0.2328356653743704
idea,103,18,-0.23155279156148012
show,186,33,-0.22675661929798885
chicken,3414,619,-0.22529141757066018
hungry,374,67,-0.22408639074210868
sub,181,32,-0.22400558592609698
along,115,20,-0.2224369581534713
ice,906,163,-0.2212286892454749
playing,71,12,-0.21978794998189422
take,1057,190,-0.21964252716479749
although,110,19,-0.2177067837780715
hot,1498,269,-0.21737317243218968
around,771,138,-0.21699409464232922
name,250,44,-0.21271426217494938
thin,105,18,-0.21250459659078658
value,306,54,-0.21199014918168668
couple,184,32,-0.2076564479245686
served,358,63,-0.20706540640780613
asian,117,20,-0.2053425247941707
honey,174,30,-0.20070594209804504
opened,186,32,-0.19690365614830618
brown,124,21,-0.1942334275924278
remember,107,18,-0.1938124635786327
big,790,138,-0.19268067689945134
high,295,51,-0.19238897579378023
room,326,56,-0.18459580847370916
man,200,34,-0.18354786496675057
whole,264,45,-0.1804162820392854
mary,74,12,-0.17896595546163852
always,2944,509,-0.17805134116909738
it's,3821,659,-0.1752154217566666
expected,98,16,-0.1695982054580405
sugar,168,28,-0.16890182659981434
